Nb,Sector,Type,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
414,78,ARC,11L8_943,LBBRP_11L8_EH843.POSST,LBBRP_11L8_TT843.POSST,QRLAB_11L8_CV943.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLAB_11L8_TT943.POSST,QRLBA_09L8_TT961.POSST,2,38,0.39,4,45,QRLAB_11L8_QBS943.POSST,QRLAB_11L8_FT943.POSST
415,78,ARC,09L8_947,LQNCE_10L8_EH847.POSST,LQNCE_10L8_TT847.POSST,QRLBA_09L8_CV947.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLBA_09L8_TT947.POSST,QRLBA_09L8_TT961.POSST,2,38,0.39,4,45,QRLBA_09L8_QBS947.POSST,QRLBA_09L8_FT947.POSST
416,78,ARC,09L8_943,LBBRF_09L8_EH843.POSST,LBBRF_09L8_TT843.POSST,QRLBA_09L8_CV943.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLBA_09L8_TT943.POSST,QRLBA_09L8_TT961.POSST,2,38,0.39,4,45,QRLBA_09L8_QBS943.POSST,QRLBA_09L8_FT943.POSST
417,78,LSS,07L8_947,LQNCE_08L8_EH847.POSST,LQNCE_08L8_TT847.POSST,QRLCF_07L8_CV947.POSST,QRLCF_07L8_CV943.POSST,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLCF_07L8_TT947.POSST,QRLBA_09L8_TT961.POSST,7,50,0.22,4,40,QRLCF_07L8_QBS947.POSST,QRLCF_07L8_FT947.POSST
418,78,LSS,07L8_945,LQNFI_07L8_EH845.POSST,LQNFI_07L8_TT845.POSST,QRLCF_07L8_CV945.POSST,0,QRLBA_09L8_PT961.POSST,QRLBA_09L8_PT991.POSST,QRLCF_07L8_TT945.POSST,QRLBA_09L8_TT961.POSST,7,50,0.22,4,13.5,QRLCF_07L8_QBS945.POSST,QRLCF_07L8_FT945.POSST
419,78,LSS,06L8_947,LQNLB_06L8_EH847.POSST,LQNLB_06L8_TT847A.POSST,QRLEA_06L8_CV947.POSST,0,QRLEA_06L8_PT961.POSST,QRLEA_06L8_PT991.POSST,QRLEA_06L8_TT947.POSST,QRLEA_06L8_TT961.POSST,10,100,0.1,4,12,QRLEA_06L8_QBS947.POSST,QRLEA_06L8_FT947.POSST
420,78,LSS,05L8_947,LQNMA_05L8_EH847.POSST,LQNMA_05L8_TT847A.POSST,QRLEA_05L8_CV947.POSST,0,QRLEA_05L8_PT961.POSST,QRLEA_05L8_PT991.POSST,QRLEA_05L8_TT947.POSST,QRLEA_05L8_TT961.POSST,0,100,0.05,4,12.955,QRLEA_05L8_QBS947.POSST,QRLEA_05L8_FT947.POSST
421,78,LSS,04L8_947,LQYEB_04L8_EH847.POSST,LQYEB_04L8_TT847A.POSST,QRLFE_04L8_CV947.POSST,0,QRLFE_04L8_PT961.POSST,QRLFE_04L8_PT991.POSST,QRLFE_04L8_TT947.POSST,QRLFE_04L8_TT961.POSST,10,40,0.1,4,22.755,QRLFE_04L8_QBS947.POSST,QRLFE_04L8_FT947.POSST
422,78,LSS,03L8_947,LQXAB_01L8_EH847.POSST,LQXAB_01L8_TT847A.POSST,QRLGF_03L8_CV947.POSST,0,QRLGF_03L8_PT961.POSST,QRLGF_03L8_PT991.POSST,QRLGF_03L8_TT947.POSST,QRLGF_03L8_TT961.POSST,5.5,30,0.26,2,45,QRLGF_03L8_QBS947.POSST,QRLGF_03L8_FT947.POSST
423,81,LSS,03R8_947,LQXAA_01R8_EH847.POSST,LQXAA_01R8_TT847A.POSST,QRLGE_03R8_CV947.POSST,0,QRLGE_03R8_PT961.POSST,QRLGE_03R8_PT991.POSST,QRLGE_03R8_TT947.POSST,QRLGE_03R8_TT961.POSST,7.5,30,0.26,2,45,QRLGE_03R8_QBS947.POSST,QRLGE_03R8_FT947.POSST
