Cell_list	Type_list	Sector_list	EH84x_list	TT84x_list	CV94x_list	PT961_list	PT991_list	TT94x_list	TT961_list	R_list	Qs_list	Kv_list	nc_list	L_list
17L6_943	ARC	56	LBARB_17L6_EH843.POSST	LBARB_17L6_TT843.POSST	QRLAA_17L6_CV943.POSST	QRLAA_17L6_PT961.POSST	QRLAA_17L6_PT991.POSST	QRLAA_17L6_TT943.POSST	QRLAA_17L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15L6_947	ARC	56	LQATH_16L6_EH847.POSST	LQATH_16L6_TT847.POSST	QRLAB_15L6_CV947.POSST	QRLAA_17L6_PT961.POSST	QRLAA_17L6_PT991.POSST	QRLAB_15L6_TT947.POSST	QRLAA_17L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15L6_943	ARC	56	LBARB_15L6_EH843.POSST	LBARB_15L6_TT843.POSST	QRLAB_15L6_CV943.POSST	QRLAA_13L6_PT961.POSST	QRLAA_13L6_PT991.POSST	QRLAB_15L6_TT943.POSST	QRLAA_13L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13L6_947	ARC	56	LQATH_12L6_EH847.POSST	LQATH_12L6_TT847.POSST	QRLAA_13L6_CV947.POSST	QRLAA_13L6_PT961.POSST	QRLAA_13L6_PT991.POSST	QRLAA_13L6_TT947.POSST	QRLAA_13L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13L6_943	ARC	56	LBARB_13L6_EH843.POSST	LBARB_13L6_TT843.POSST	QRLAA_13L6_CV943.POSST	QRLAA_13L6_PT961.POSST	QRLAA_13L6_PT991.POSST	QRLAA_13L6_TT943.POSST	QRLAA_13L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
11L6_947	ARC	56	LQATH_12L6_EH847.POSST	LQATH_12L6_TT847.POSST	QRLAB_11L6_CV947.POSST	QRLAA_13L6_PT961.POSST	QRLAA_13L6_PT991.POSST	QRLAB_11L6_TT947.POSST	QRLAA_13L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
11L6_943	ARC	56	LBBRB_11L6_EH843.POSST	LBBRB_11L6_TT843.POSST	QRLAB_11L6_CV943.POSST	QRLBA_10L6_PT961.POSST	QRLBA_10L6_PT991.POSST	QRLAB_11L6_TT943.POSST	QRLBA_10L6_TT961.POSST	5.500000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
10L6_943	ARC	56	LBBRM_10L6_EH843.POSST	LBBRM_10L6_TT843.POSST	QRLBA_10L6_CV943.POSST	QRLBA_10L6_PT961.POSST	QRLBA_10L6_PT991.POSST	QRLBA_10L6_TT943.POSST	QRLBA_10L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
10L6_947	ARC	56	LBBRF_09L6_EH845.POSST	LBBRF_09L6_TT845.POSST	QRLBA_10L6_CV947.POSST	QRLBA_10L6_PT961.POSST	QRLBA_10L6_PT991.POSST	QRLBA_10L6_TT947.POSST	QRLBA_10L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
05L6_947	LSS	56	LQNCE_08L6_EH847.POSST	LQNCE_08L6_TT847.POSST	QRLCD_05L6_CV947.POSST	QRLBA_10L6_PT961.POSST	QRLBA_10L6_PT991.POSST	QRLCD_05L6_TT947.POSST	QRLBA_10L6_TT961.POSST	4.000000e+01	2.000000e+00	2.200000e-01	4.000000e+00	4.000000e+01
